Marca,Modelo,SKU,Tipo,Año,C. Motor,Cilindros,Potencia (HP),Potencia RPM,Torque (Nm),Torque RPM,Vmax (km/h),Tanque (L),Pesomax (kg),Enfriam.,Transmisi¢n,F. Trasero,F. Delantero,Arranque,Consumo (km/L),Autonomia (Km),URL,URL2,Prueba
Bajaj,PULSAR N125 (2026),5014191706,Moto Deportiva,2026,125,1,12,8500,11,6000,100,9.2,180,Aire,Manual,Tambor,Disco Sencillo,Pedal y electrico,60,552,https://www.youtube.com/watch?v=1wQnLsKi-Ow,https://www.youtube.com/watch?v=HHKzicNglrI,0
Bajaj,PULSAR N250 CARB (2026),5014432223,Moto Deportiva,2026,250,1,24,8750,21.5,6500,130,14,180,Aceite,Manual,Disco Sencillo,Disco Sencillo,Electrico,35,490,https://www.youtube.com/watch?v=elnSAP7yxb4,https://www.youtube.com/watch?v=Bus2Pu0kdFE&t=1014s,0
MB Motos,TEKKEN 250 R (2026),5014156951,Moto Doble P.,2026,250,1,16.8,7500,27,6000,110,12.5,150,Aceite y Aire Forzado,Manual,Disco Ventilado,Disco Ventilado,Electrico,20,250,https://www.youtube.com/watch?v=NUcwxPSZkmw,https://www.youtube.com/shorts/5gYxMvlvIH0,0
MB Motos,TEKKEN 300 PE (2026),5015073588,Motocicleta Urbana,2026,300,1,23,8500,32.5,6500,125,12.5,150,Aire Forzado y Radiador de aceite,Manual,Disco Ventilado,Disco Ventilado Doble Pistón,Electrico,18,225,https://www.youtube.com/watch?v=lLuAif3TwgI,https://www.youtube.com/watch?v=Y9tZU9klhr0,0
Suzuki,DR150 (2026),5014712439,Moto Doble P.,2026,150,1,12.2,8000,12.7,6500,120,12.5,210,Aire,Cadena,Tambor,ABS,Electrico,35,437.5,https://www.youtube.com/watch?v=EGP2ViNXiJU,https://www.youtube.com/watch?v=6--tOgxqgfQ,0
Suzuki,GIXXER 250 (2026),5014751990,Moto Deportiva,2026,250,1,26.1,,22.6,7500,150,12,210,Aceite,Cadena,Ventilado ABS,Ventilado ABS,Electrico,33.3,399.6,https://www.youtube.com/watch?v=RerGdIdc424,https://www.youtube.com/watch?v=lMA803y9g2o,0
Suzuki,GIXXER SF 250 (2026),5014752015,Moto Deportiva,2026,250,1,26.1,,22.2,,150,12,210,Aceite,Cadena,ABS,ABS,Electrico,30,360,https://www.youtube.com/watch?v=RerGdIdc424,https://www.youtube.com/watch?v=yP-ysr2Re6c,0
Veloci,RAZZER GTR 220 R (2026),5014444744,Moto Deportiva,2026,220,1,15,9000,,,110,14.5,150,Aire,Manual,Tambor,Disco Ventilado,Pedal y electrico,38,551,https://www.youtube.com/watch?v=CvPA5DNsRac,https://www.youtube.com/shorts/5gYxMvlvIH0,0
Veloci,XEVERUS EVO ADVENTURE 330 R (2026),5014444752,Moto Doble P.,2026,330,1,20,8000,,,95,10,150,Aire,Manual,Disco Ventilado,Disco Ventilado,Pedal y electrico,34,340,https://www.youtube.com/watch?v=8AAzigGU2vA&t=2s,https://www.youtube.com/shorts/5gYxMvlvIH0,0
Veloci,THYRON EVO SPORT 200 R (2026),5014444728,Motoneta,2026,200,1,10,6500,,,95,6.5,150,Aceite,Automática,Tambor,Disco Ventilado,"Remoto, pedal y electrico",30,195,https://www.youtube.com/watch?v=XXa82FZNQeQ,https://www.youtube.com/shorts/5gYxMvlvIH0,0
Veloci,BREAKSTORM EVO SPORT 330 R (2026),5015303206,Motocicleta Urbana,2026,330,1,22,8500,,,115,23,150,Aire,Manual,Disco Ventilado,Disco Ventilado,"Remoto, pedal y electrico",32,736,https://www.youtube.com/watch?v=SfRBmdBnfP8,https://www.youtube.com/shorts/5gYxMvlvIH0,0
Veloci,REVENGE DYNAMIK 220 R (2026),5015282641,Moto Doble P.,2026,220,1,14,8000,,,90,10,150,Aire,Manual,Tambor,Disco Ventilado,"Remoto, pedal y electrico",40,400,https://www.youtube.com/watch?v=FW_EZvN5icA,https://www.youtube.com/shorts/5gYxMvlvIH0,0
Veloci,SNAKE GT TRAIL 250 RR (2026),5015282659,Motocicleta Urbana,2026,250,1,18,7500,,,120,14,150,Aire,Manual,Disco Ventilado,Disco Ventilado,"Remoto, pedal y electrico",36.4,509.6,https://www.youtube.com/watch?v=4YrNJh5q51Y,https://www.youtube.com/shorts/5gYxMvlvIH0,0
Veloci,QUAD XL FORCE 200 R (2026),5015287707,Cuatrimoto,2026,200,1,10,7500,,,60,8.5,100,Aceite,Automática con reversa,Doble disco ventilado,Disco Ventilado,"Remoto, electrónico y polea",28,238,https://www.youtube.com/watch?v=NKaiq279J0g,https://www.youtube.com/shorts/5gYxMvlvIH0,0
Suzuki,VSTROM 160 (2027),5015666996,Moto Doble P.,2027,160,1,14.75,8000,14,6500,120,13,200,Aire,Manual,ABS,ABS,Electrico,45,585,https://www.youtube.com/watch?v=O9puJm8iU8A,https://www.youtube.com/watch?v=VFv9v1dm9j8,0
Suzuki,VSTROM 160 (2026),5015666970,Moto Doble P.,2026,160,1,14.75,8000,14,6500,120,13,200,Aire,Manual,ABS,ABS,Electrico,45,585,https://www.youtube.com/watch?v=O9puJm8iU8A,https://www.youtube.com/watch?v=VFv9v1dm9j8,0
Suzuki,VSTROM 250 SX (2026),5015568463,Moto Doble P.,2026,250,1,25.6,9300,22.2,7300,130,12,210,Aceite,Manual,ABS,ABS,Electrico,30,360,https://www.youtube.com/watch?v=ZNdAYOpg8tY,https://www.youtube.com/watch?v=vujOJsMR6xA,0
Bajaj,PULSAR N160 (2026),5015462070,Moto Deportiva,2026,164.82,1,15.48,8750,16.65,6750,106,12,180,Aceite,Manual,Disco Sencillo,Disco Sencillo,Manual,35,420,https://www.youtube.com/watch?v=ARJkO-i33nA,https://www.youtube.com/watch?v=bdBqI0fOvU4,0
Bajaj,PULSAR NS 400Z (2026),5015697735,Moto Deportiva,2026,373.27,1,39.45,8500,35,7000,154,12,180,Líquido,Manual,ABS,ABS,Pedal y electrico,30,360,https://www.youtube.com/watch?v=ApD62-3mqvI,https://www.youtube.com/watch?v=K0_DEMT_zu8,0
Bajaj,PULSAR N250 FI (2026),5013943755,Moto Deportiva,2026,250,1,24,8750,21.5,6500,130,14,180,Aceite,Manual,ABS,ABS,Electrico,44,616,https://www.youtube.com/watch?v=elnSAP7yxb4,https://www.youtube.com/watch?v=Bus2Pu0kdFE&t=1014s,0
MB Motos,NORDICA 300 (2026),5015377293,Moto Doble P.,2026,300,1,26,8500,22,6500,130,12,150,Aceite y Aire Forzado,Manual,Disco Ventilado,Disco Ventilado (Doble pistón),"Remoto, electrico",18,216,https://www.youtube.com/watch?v=2vBWdOk_ht8,https://www.youtube.com/watch?v=h8FtYtEA5Qo,0
Veloci,DEUS EVO SPORT 150R (2026),5015327041,Motocicleta Urbana,2026,150,1,9,7500,,,90,12,150,Aire,Manual,Tambor,Tambor,"Remoto, pedal y electrico",37.5,450,https://www.youtube.com/watch?v=7OntBs7KSzI,https://www.youtube.com/shorts/5gYxMvlvIH0,0
